編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLPLKIJGFAO88CC,26,21.14,避難室兼停車空間,鋼筋混凝土造,87年7月26日,七層,,
RPQNMLPLKIJGFAO88CC,26,11.17,梯間、機械室、水塔,鋼筋混凝土造,87年7月26日,七層,,
RPRNMLPLKIJGFAO98CC,31,81.87,住家用,鋼筋混凝土造,82年6月23日,七層,,
RPRNMLPLKIJGFAO98CC,31,9.24,共有部分,鋼筋混凝土造,82年6月23日,二層,,
RPRNMLPLKIJGFAO98CC,31,13.89,共有部分,鋼筋混凝土造,82年6月23日,七層,,
RPRNMLPLKIJGFAO98CC,31,4.60,住家用,鋼筋混凝土造,82年6月23日,七層,,
RPUNMLPLKIJGFAO66CC,32,43.68,住家用,鋼筋混凝土造,81年10月14日,七層,,
RPSNMLOLKIJGFAO98CC,2,97.36,集合住宅,鋼筋混凝土造,112年5月30日,二十九層,,
RPSNMLOLKIJGFAO98CC,2,51.47,共有部分,鋼筋混凝土造,112年5月30日,二十九層,,
RPSNMLPLKIJGFAO09CC,27,89.33,住宅,鋼筋混凝土造,87年4月10日,十二層,,
RPSNMLPLKIJGFAO09CC,27,17.78,國民住宅、突出物、梯間,鋼筋混凝土造,87年4月10日,十二層,,
RPSNMLPLKIJGFAO09CC,27,22.62,住家用、地下室、夾層,鋼筋混凝土造,87年4月10日,十二層,,
RPTNMLPLKIJGFAO56CC,29,90.27,住家用,鋼筋混凝土造,84年12月14日,五層,,
RPTNMLPLKIJGFAO56CC,29,7.67,共有部分,鋼筋混凝土造,84年12月14日,五層,,
RPPNMLPLKIJGFAO78CC,42,21.96,做月子中心〈產後護理之家〉,鋼筋混凝土造,71年11月10日,十一層,,
