編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPWNMLNLKIJGFDH88CC,,58.59,集合住宅,鋼筋混凝土造,113年8月6日,十五層,,
RPWNMLNLKIJGFDH88CC,,12.49,本共有部分之項目有集合住宅（附屬梯間）、機房、水箱、梯間等四項,鋼筋混凝土造,113年8月6日,十五層,,
RPWNMLNLKIJGFDH88CC,,44.25,本共有部分之項目有停車空間、汙雨水機房、消防泵浦室、蓄水池、梯間、防空避難室兼停車空間、台電配電室、發電機室、電信室、集合住宅（附屬梯間、車道、管理委員會使用空間）等十二項,鋼筋混凝土造,113年8月6日,十五層,,
RPTNMLNLKIJGFDH58CC,9,117.03,住家用,鋼筋混凝土造,104年12月25日,五層,,
RPTNMLNLKIJGFDH58CC,9,44.54,本共有部分之項目有：集合住宅（附屬停車空間、附屬梯間）等２項,鋼筋混凝土造,104年12月25日,五層,,
RPTNMLNLKIJGFDH58CC,9,21.45,本共有部分之項目有：集合住宅（附屬梯間、附屬電梯機房、附屬水箱）等３項,鋼筋混凝土造,104年12月25日,五層,,
RPUNMLNLKIJGFDH68CC,29,54.05,住家用,鋼筋混凝土造,84年10月16日,八層,,
RPUNMLNLKIJGFDH68CC,29,11.04,停車場，防空避難室,鋼筋混凝土造,84年10月16日,八層,,
RPUNMLNLKIJGFDH68CC,29,6.57,水箱，機械房，樓梯間，門廳,鋼筋混凝土造,84年10月16日,八層,,
RPSQMLNLKIJGFAH48CC,43,129.93,住家用,鋼筋混凝土造,70年8月7日,五層,,
RPSQMLNLKIJGFAH48CC,43,1.30,共有部份,鋼筋混凝土造,70年8月7日,五層,,
RPSQMLNLKIJGFAH48CC,43,6.97,共有部份,鋼筋混凝土造,70年8月7日,五層,,
RPVQMLNLKIJGFAH78CC,19,107.34,住家用,鋼筋混凝土造,94年11月16日,十二層,,
RPVQMLNLKIJGFAH78CC,19,37.93,共有部份,鋼筋混凝土造,94年11月16日,十三層,,
RPVQMLNLKIJGFAH78CC,19,33.12,共有部份,鋼筋混凝土造,94年11月16日,十三層,,
RPRQMLNLKIJGFAH38CC,40,75.63,住家用,鋼筋混凝土造,73年12月8日,三層,,
RPUQMLNLKIJGFAH68CC,30,94.60,住家用,鋼筋混凝土造,83年8月1日,七層,,
RPUQMLNLKIJGFAH68CC,30,45.80,共有部份,鋼筋混凝土造,83年8月1日,七層,,
RPUQMLNLKIJGFAH68CC,30,2.15,共有部份,鋼筋混凝土造,83年8月1日,七層,,
RPTQMLNLKIJGFAH58CC,29,25.79,住家用,鋼筋混凝土造,85年1月18日,十二層,,
RPTQMLNLKIJGFAH58CC,29,10.59,共有部份,鋼筋混凝土造,85年1月18日,十二層,,
RPTPMLNLKIJGFCH68CC,26,24.00,防空避難室，停車空間，住宅，機械室，水箱,鋼筋混凝土造,88年5月13日,七層,,
RPXOMLNLKIJGFDH09CC,1,67.60,集合住宅,鋼筋混凝土造,113年4月30日,七層,,
RPROMLNLKIJGFDH48CC,26,77.41,住家用,鋼筋混凝土造,87年10月9日,四層,,
RPOOMLNLKIJGFDH18CC,28,81.33,住家用,鋼筋混凝土造,85年10月14日,五層,,
RPUOMLNLKIJGFDH78CC,30,82.42,住家用,鋼筋混凝土造,83年7月6日,五層,,
RPXOMLNLKIJGFDH09CC,1,46.74,本共有部分之項目有機房、停車空間兼防空避難室、梯間等三項,鋼筋混凝土造,113年4月30日,七層,,
RPOOMLNLKIJGFDH18CC,28,6.22,樓梯間、機房、水箱,鋼筋混凝土造,85年10月14日,五層,,
RPROMLNLKIJGFDH48CC,26,9.07,梯間、水箱,鋼筋混凝土造,87年10月9日,四層,,
RPUOMLNLKIJGFDH78CC,30,11.95,見其他登記事項,鋼筋混凝土造,83年7月6日,五層,,
RPWOMLNLKIJGFDH98CC,1,65.96,集合住宅,鋼筋混凝土造,113年4月30日,七層,,
RPROMLNLKIJGFDH48CC,26,5.26,管理員室、水塔、防空避難室、停車空間,鋼筋混凝土造,87年10月9日,一層,,
RPXNMLNLKIJGFDH98CC,3,93.25,集合住宅,鋼筋混凝土造,111年4月8日,十五層,,
RPWOMLNLKIJGFDH98CC,1,46.74,本共有部分之項目有機房、停車空間兼防空避難室、梯間等三項,鋼筋混凝土造,113年4月30日,七層,,
RPXNMLNLKIJGFDH98CC,3,53.44,本共有部分之項目有防空避難室兼停車空間、停車空間、集合住宅（附屬管委會、停車空間）等四項,鋼筋混凝土造,111年4月8日,十五層,,
RPXNMLNLKIJGFDH98CC,3,22.50,本共有部分之項目有（樓梯間、機械室、水箱）,鋼筋混凝土造,111年4月8日,十五層,,
RPPOMLNLKIJGFDH28CC,32,51.89,住家用,鋼筋混凝土造,81年9月23日,七層,,
RPVOMLNLKIJGFDH88CC,30,29.21,住家用,鋼筋混凝土造,84年3月24日,十五層,,
RPPOMLNLKIJGFDH28CC,32,6.83,共有部份,鋼筋混凝土造,81年9月23日,七層,,
RPVOMLNLKIJGFDH88CC,30,11.16,共有部份,鋼筋混凝土造,84年3月24日,十五層,,
RPPOMLNLKIJGFDH28CC,32,4.19,共有部份,鋼筋混凝土造,81年9月23日,七層,,
RPVOMLNLKIJGFDH88CC,30,33.24,共有部份,鋼筋混凝土造,84年3月24日,十五層,,
RPSOMLNLKIJGFDH58CC,6,63.25,集合住宅,鋼筋混凝土造,108年4月18日,十五層,,
RPSOMLNLKIJGFDH58CC,6,59.67,本共有部分之項目有：防空避難室兼停車空間、停車空間、集合住宅（附屬公共服務空間）、梯間、水箱、機械室,鋼筋混凝土造,108年4月18日,十五層,,
RPTOMLNLKIJGFDH68CC,9,117.03,住家用,鋼筋混凝土造,104年12月25日,五層,,
RPTOMLNLKIJGFDH68CC,9,44.54,本共有部分之項目有：集合住宅（附屬停車空間、附屬梯間）等２項,鋼筋混凝土造,104年12月25日,五層,,
RPTOMLNLKIJGFDH68CC,9,21.45,本共有部分之項目有：集合住宅（附屬梯間、附屬電梯機房、附屬水箱）等３項,鋼筋混凝土造,104年12月25日,五層,,
RPPNMLNLKIJGFFH38CC,7,67.94,集合住宅,鋼筋混凝土造,107年1月8日,十一層,,
RPPNMLNLKIJGFFH38CC,7,72.37,共有部分之項目有：停車空間、水箱、消防泵浦室、梯間、污水機房及雨水滯洪機房、防空避難兼停車空間、發電機室、台電配電場所、垃圾儲藏室、電信室、機房、管委會使用空間、門廊、車道、機械室等計１６項。,鋼筋混凝土造,107年1月8日,十二層,,
